RNA31_F	76	17	1
RNA10_1	55	9	1
RNA8	113	0	35074
RNA33_2	150	0	1
RNA8	113	1	2866
RNA8	113	2	3132
RNA43	88	12	1
RNA8	113	3	1262
RNA23t_F	86	11	2
RNA8	113	4	2168
RNA8	113	5	2416
RNA23t_F	86	13	1
RNA8	113	6	444054
RNA8	113	7	3835
RNA43	88	17	2
RNA8	113	8	803
RNA8	113	9	269
RNA31_F	53	0	9
RNA34_F	150	22	1
RNA34_F	150	23	2
RNA2	147	2	1
RNA34_F	150	24	1
RNA34_F	96	0	771
RNA34_F	96	1	68
SSUA	143	0	92
RNA34_F	96	2	469
SSUD	150	64	1
SSUA	143	1	17
RNA34_F	96	3	498
RNA11_1	64	0	4
SSUA	143	2	4
RNA34_F	96	4	3918
RNA11_1	64	1	1
SSUA	143	3	3
RNA34_F	96	5	3173
RNA11_1	64	2	1
SSUA	143	4	39
RNA34_F	96	6	562
SSUA	143	5	27
RNA34_F	96	7	71
SSUA	143	6	3
RNA34_F	96	8	9
RNA11_1	64	5	1
RNA34_F	96	9	18
RNA11_1	64	7	2
RNA33_2	56	11	2
SSUD	58	0	507
SSUD	58	1	80
SSUD	58	2	10
RNA33_2	56	14	2
RNA33_2	56	15	3
RNA33_2	56	16	4
RNA42	39	11	5
RNA42	39	12	148
RNA42	39	13	531
RNA42	39	14	10
RNA42	39	15	4
RNA5_F	113	30	1
RNA42	39	16	28
RNA42	39	17	7
RNA34_F	118	12	1
RNA16	53	10	4
RNA11_F	143	0	2
RNA16	53	11	1
RNA16	53	13	2
RNA10_1	58	0	3
RNA16	53	14	1
RNA13	92	0	1
RNA10_1	58	2	1
RNA29	52	0	114
RNA43	89	0	6
RNA29	52	1	15
RNA16	53	17	2
RNA43	89	1	1
RNA10_1	58	4	4
RNA29	52	2	6
RNA10_1	58	5	2
RNA29	52	3	10
RNA16	53	19	2
RNA29	52	5	2
RNA29	52	6	10
RNA29	52	7	2359
RNA29	52	8	14
RNA29	52	9	61
RNA8	116	0	5344
RNA8	116	1	470
RNA28	41	0	8
RNA8	116	2	298
RNA28	41	1	1
RNA8	116	3	204
RNA8	116	4	139
RNA8	116	5	147
RNA8	116	6	61
RNA14	44	10	161
RNA8	116	7	133
RNA14	44	11	72
RNA8	116	8	253
RNA14	44	12	30
RNA8	116	9	30275
RNA14	44	13	200
RNA31_F	56	0	3
RNA14	44	14	91
RNA31_F	56	1	2
RNA14	44	15	51
RNA33_F	71	0	12
RNA34_F	99	0	6678
RNA34_F	99	1	311
SSUA	146	0	29
RNA34_F	99	2	116
RNA10_F	115	10	17
SSUA	146	1	4
RNA34_F	99	3	226
RNA11_1	67	0	2
SSUA	146	2	4
RNA34_F	99	4	1450
RNA10_F	115	12	3
RNA34_F	99	5	1840
SSUA	146	4	3
RNA34_F	99	6	643
RNA42	72	2	1
RNA11_1	67	3	2
SSUA	112	13	1
SSUA	146	5	5
RNA34_F	99	7	202
SSUA	146	6	3
RNA34_F	99	8	14
RNA10_F	115	16	1
RNA34_F	99	9	5
RNA11_1	67	9	1
SSUD	150	78	18
RNA29	53	10	224
RNA29	53	11	411
RNA9	108	33	1
RNA29	53	12	52
RNA29	53	13	14
RNA29	53	14	11
RNA29	53	15	3
RNA29	53	16	2
RNA5_F	112	12	1
RNA29	53	17	128
RNA2	131	6	1
RNA11_F	146	0	3
RNA33_F	141	1	1
RNA5_F	112	18	1
RNA29	55	0	4521
RNA29	55	1	1041
RNA29	55	2	650
RNA29	55	3	820
RNA34_F	118	21	1
RNA29	55	4	645
RNA29	55	5	623
RNA29	55	6	610
RNA29	55	7	27
RNA16	53	20	1
RNA29	55	8	35
RNA16	53	21	1
RNA29	55	9	1093
RNA16	53	22	1
RNA8	119	0	207
RNA8	119	1	36
RNA28	44	0	3
RNA8	119	2	16
RNA15_F	43	10	1
RNA28	44	1	5
RNA8	119	3	14
RNA8	119	4	16
RNA28	44	3	2
RNA8	119	5	47
RNA16	53	28	4
RNA8	119	6	16
RNA15_F	43	14	13
RNA28	44	5	2
RNA8	119	7	12
RNA15_F	43	15	21
RNA28	44	6	1
RNA8	119	8	13
RNA15_F	43	16	3
RNA8	119	9	2
RNA15_F	43	17	1
RNA31_F	102	14	1
RNA28	44	8	1
RNA31_F	59	0	25
RNA31_F	59	1	3
RNA15_F	43	19	1
RNA31_F	59	2	1
RNA33_F	74	0	1
RNA31_F	59	3	5
RNA7	134	15	1
RNA5_1	45	11	2
RNA33_F	74	3	2
RNA10_1	42	0	154
RNA5_1	45	13	5
RNA10_1	42	1	42
RNA10_1	42	2	11
SSUA	149	0	144
RNA10_1	42	3	19
RNA23t_F	62	0	2506
SSUA	149	1	8
RNA10_1	42	4	16
RNA23t_F	62	1	79
SSUA	149	2	2
RNA10_1	42	5	50
RNA23t_F	62	2	17432
SSUA	149	3	1
RNA10_1	42	6	17
RNA23t_F	62	3	71
SSUA	149	4	4
RNA10_1	42	7	8
RNA23t_F	62	4	3
SSUA	149	5	3
RNA10_1	42	8	13
RNA23t_F	62	5	19
SSUA	149	6	3
RNA10_1	42	9	1751
RNA23t_F	62	6	4
SSUA	149	7	3
RNA23t_F	62	7	19
SSUB	143	17	25
RNA23t_F	62	8	1
RNA42	71	23	1
RNA23t_F	62	9	60
SSUB	143	19	1
RNA9	107	10	1
RNA9	107	11	30
RNA9	107	12	3
RNA2	134	0	3
RNA9	107	13	2
RNA9	107	14	5
RNA7	91	10	74
RNA7	91	11	4395
RNA7	91	12	11221
RNA7	91	13	135
RNA7	91	14	12
RNA2	134	6	1
SSUA	130	0	350
RNA7	91	15	3
SSUA	130	1	94
RNA11_F	149	0	4
RNA7	91	16	2
SSUA	130	2	29
RNA11_F	149	1	2
RNA15_F	32	0	5509
SSUA	130	3	50
RNA15_F	32	1	615
SSUA	130	4	45
RNA7	91	19	1
RNA15_F	32	2	4
SSUA	130	5	57
RNA15_F	32	3	244
SSUA	130	6	55
RNA11_F	149	5	1
RNA15_F	32	4	381
SSUA	130	7	34
RNA29	58	0	2818
RNA15_F	32	5	637
SSUA	130	8	33
RNA29	58	1	335
RNA15_F	32	6	30
SSUA	130	9	43
RNA29	58	2	79
RNA15_F	32	7	39
RNA29	58	3	66
RNA15_F	32	8	72
RNA29	58	4	60
RNA29	58	5	59
RNA13	98	7	1
RNA29	58	6	54
RNA29	58	7	48
RNA29	58	8	65
RNA29	58	9	82
RNA28	47	0	20
SSUD	117	45	1
RNA28	47	1	7
RNA28	47	2	3
SSUD	121	0	6
SSUD	121	1	2
RNA28	47	4	2
RNA14	90	0	11
RNA28	47	5	9
RNA10_2	56	2	1
RNA28	47	6	25
RNA14	90	2	2
RNA28	47	7	13
RNA28	47	8	5
RNA29	126	0	1
RNA14	90	4	1
SSUD	121	6	1
RNA28	47	9	1
RNA14	90	5	2
RNA14	90	6	4
RNA14	90	7	1
RNA14	90	8	1
RNA10_1	45	0	44
RNA10_1	45	1	8
RNA10_1	45	2	4
RNA31_F	75	10	371
RNA10_1	45	3	3
RNA31_F	75	11	4
RNA10_1	45	4	10
RNA23t_F	65	0	98
RNA31_F	75	12	2
RNA10_1	45	5	19
RNA23t_F	65	1	38
RNA31_F	75	13	3
RNA10_1	45	6	3
RNA23t_F	65	2	76
RNA10_1	45	7	5
RNA23t_F	65	3	6
RNA31_F	75	15	1
SSUF_1	49	10	16
RNA10_1	45	8	3
RNA23t_F	65	4	1
RNA31_F	75	16	1
SSUF_1	49	11	650
RNA23t_F	65	5	415
SSUF_1	49	12	190
RNA23t_F	65	6	5
SSUF_1	49	13	37
RNA23t_F	65	7	2
SSUF_1	49	14	29
RNA23t_F	65	8	2
SSUF_1	49	15	11
RNA23t_F	65	9	1
SSUF_1	49	16	12
RNA23t_F	85	10	2
SSUF_1	49	17	72
RNA6	103	10	1
SSUF_1	49	18	62
RNA23t_F	85	12	1
SSUF_1	49	19	404
RNA6	103	14	4
RNA29	120	6	1
RNA43	70	0	7
RNA2	137	0	2
RNA2	137	1	1
SSUA	133	0	119
SSUA	133	1	19
SSUA	133	2	13
RNA15_F	35	0	114
SSUA	133	3	7
RNA11_F	109	16	1
RNA15_F	35	1	30
SSUF_1	97	0	1
SSUA	133	4	5
RNA31_1	56	17	3
RNA15_F	35	2	16
RNA9	107	21	1
SSUA	133	5	9
RNA31_1	56	18	1
RNA15_F	35	3	12
SSUA	133	6	12
RNA15_F	35	4	6
SSUA	133	7	7
RNA13	147	11	1
SSUA	133	8	5
RNA15_F	35	6	335
SSUA	133	9	6
RNA33_2	55	10	3
RNA15_F	35	7	422
RNA15_F	35	8	1101
RNA15_F	35	9	86
RNA33_2	55	13	2
RNA33_2	55	14	5
RNA33_2	55	15	1
RNA33_2	55	18	1
RNA34_F	80	0	1983
RNA34_F	80	1	450
RNA34_F	80	2	171
SSUD	124	0	2
RNA34_F	80	3	188
RNA34_F	80	4	174
RNA14	93	0	7
RNA34_F	80	5	170
RNA14	93	1	1
RNA6	99	10	12
RNA34_F	80	6	146
RNA14	93	2	1
RNA34_F	80	7	100
SSUD	124	5	2
RNA5_F	90	0	1174
RNA34_F	80	8	148
RNA5_F	90	1	84
RNA34_F	80	9	138
RNA14	93	5	1
RNA11_F	133	0	1
RNA5_F	90	2	83
RNA14	93	6	2
RNA5_F	90	3	178
RNA5_F	90	4	16
RNA6	99	16	1
SSUF_2	41	10	79
RNA5_F	90	5	46
SSUF_2	41	11	13
RNA14	93	9	1
RNA10_1	48	0	9
RNA5_F	90	6	83
SSUF_2	41	12	39
RNA13	82	0	1
RNA10_1	48	1	1
RNA5_F	90	7	19654
SSUF_2	41	13	65
SSUE_F	102	0	1
RNA5_F	90	8	180
RNA29	42	0	485
SSUF_2	41	14	3
RNA10_1	48	3	1
RNA5_F	90	9	62
RNA29	42	1	11
RNA23t_F	68	0	37
RNA10_1	48	5	13
RNA23t_F	68	1	10
RNA10_1	48	6	6
RNA23t_F	68	2	15
RNA10_1	48	7	3
RNA23t_F	68	3	1
RNA29	42	6	6
RNA23t_F	68	4	4
RNA10_1	48	9	3
RNA23t_F	68	5	7
RNA23t_F	68	6	2
RNA35	65	12	1
RNA23t_F	68	8	195
RNA23t_F	68	9	4
RNA14	43	10	37
RNA14	43	11	17
RNA14	43	12	219
SSUF_1	49	20	7
RNA14	43	13	87
RNA14	43	14	66
SSUF_1	49	22	5
RNA43	73	0	4
SSUF_1	49	23	1
RNA43	73	2	2
RNA10_F	114	10	3
SSUA	136	0	46
RNA8	100	0	70
SSUA	136	1	7
RNA8	100	1	947
SSUA	136	2	17
RNA15_F	38	0	91
SSUA	136	3	3
RNA8	100	3	8
RNA15_F	38	1	4
SSUA	136	4	2
RNA8	100	4	6
RNA15_F	38	2	2
SSUA	136	5	4
RNA8	100	5	3
RNA15_F	38	3	2
SSUA	136	6	2
RNA8	100	6	24
RNA15_F	38	4	3
RNA8	100	7	19
RNA15_F	38	5	1
SSUA	136	8	1
RNA43	30	10	1
RNA8	100	8	101
RNA15_F	38	6	3
RNA43	30	11	2
RNA8	100	9	14
RNA15_F	38	7	2
RNA15_F	38	9	90
RNA11_F	109	23	1
RNA34_F	83	0	2412
RNA9	107	32	1
RNA34_F	83	1	672
RNA34_F	83	2	299
SSUF_2	92	0	10
SSUD	127	0	3
RNA2	121	0	79
RNA34_F	83	3	354
RNA2	121	1	2
RNA34_F	83	4	272
SSUF_2	92	2	1
RNA14	96	0	9
RNA11_1	51	0	162
RNA34_F	83	5	296
SSUF_2	92	3	1
RNA14	96	1	1
RNA11_1	51	1	29
SSUF_1	105	3	1
RNA34_F	83	6	302
SSUF_2	92	4	3
RNA11_1	51	2	9
RNA34_F	83	7	260
SSUF_2	92	5	1
RNA14	96	3	1
RNA11_1	51	3	6
SSUD	127	5	1
RNA5_F	93	0	14699
RNA34_F	83	8	221
SSUF_2	92	6	1
RNA11_1	51	4	12
RNA5_F	93	1	2666
RNA34_F	83	9	164
RNA33_2	55	25	1
RNA11_1	51	5	24
RNA11_F	136	0	1
RNA5_F	93	2	1426
RNA11_1	51	6	13
RNA5_F	93	3	1117
RNA11_1	51	7	37
RNA5_F	93	4	1291
RNA14	96	8	1
RNA11_1	51	8	25
RNA5_F	93	5	1497
RNA11_1	51	9	65
RNA5_F	93	6	1648
RNA5_F	93	7	356
RNA5_F	93	8	872
RNA29	45	0	332
RNA5_F	93	9	1159
RNA29	45	1	1
RNA17	69	10	1
RNA17	69	11	2
RNA29	45	3	16
RNA17	69	13	1
RNA29	45	5	2
LSUB	101	10	1
RNA29	45	6	1
RNA29	45	7	3
RNA17	69	16	1
RNA29	45	8	1
RNA29	45	9	33
RNA17	69	18	1
RNA17	69	19	1
RNA31_F	101	10	1
RNA31_F	101	13	3
RNA34_F	118	54	1
RNA31_F	101	14	2
RNA31_F	101	15	1
RNA43	76	0	3
RNA35	65	20	1
RNA7	133	14	1
RNA5_1	44	10	5
