RNA23t_F	2	19218
RNA23t_F	20	5
RNA23t_F	21	4
RNA23t_F	24	1
RNA23t_F	3	4010
RNA23t_F	4	1346
RNA23t_F	5	542
RNA23t_F	6	415
RNA23t_F	7	383
RNA23t_F	8	346
RNA23t_F	9	214
RNA2	4	27
RNA2	5	30
RNA2	6	7
RNA2	7	18
RNA2	8	58
RNA28	0	680
RNA28	1	167
RNA28	10	470
RNA28	11	661
RNA28	12	677
RNA28	13	523
RNA28	14	263
RNA28	15	129
RNA28	16	64
RNA28	17	21
RNA28	18	23
RNA28	19	10
RNA28	2	51
RNA28	20	10
RNA28	21	2
RNA28	22	1
RNA28	23	1
RNA28	26	1
RNA28	3	35
RNA28	31	1
RNA28	4	34
RNA28	5	36
RNA28	6	86
RNA28	7	86
RNA28	8	154
RNA28	9	226
RNA2	9	159
RNA29	0	26869
RNA29	1	6380
RNA29	10	178266
RNA29	105	8
RNA29	11	149295
RNA29	12	50701
RNA29	13	15907
RNA29	14	5782
RNA29	15	2462
RNA29	16	1193
RNA29	17	722
RNA29	18	692
RNA29	19	829
RNA29	2	1927
RNA29	20	653
RNA29	21	299
RNA29	22	95
RNA29	23	44
RNA29	24	13
RNA29	25	10
RNA29	26	7
RNA29	27	1
RNA29	28	4
RNA29	29	1
RNA29	3	2466
RNA29	30	2
RNA29	32	2
RNA29	33	3
RNA29	34	1
RNA29	36	1
RNA29	37	1
RNA29	4	2258
RNA29	44	1
RNA29	46	1
RNA29	49	1
RNA29	5	2266
RNA29	50	1
RNA29	6	2673
RNA29	62	1
RNA29	7	3300
RNA29	8	10884
RNA29	9	52826
RNA3	0	3259
RNA30	0	71484
RNA30	1	6357
RNA30	10	19664
RNA30	11	28955
RNA30	111	1
RNA30	119	1
RNA30	12	35059
RNA30	120	1
RNA30	13	29132
RNA30	14	18364
RNA30	15	12955
RNA30	16	9951
RNA30	17	7284
RNA30	18	5501
RNA30	19	3254
RNA30	2	3469
RNA30	20	1792
RNA30	21	831
RNA30	22	422
RNA30	23	185
RNA30	24	86
RNA30	25	62
RNA30	26	34
RNA30	27	16
RNA30	28	12
RNA30	29	6
RNA30	3	3849
RNA30	30	3
RNA30	31	6
RNA30	32	4
RNA30	33	1
RNA30	35	3
RNA30	36	1
RNA30	4	4152
RNA30	41	1
RNA30	45	1
RNA30	49	1
RNA30	5	13674
RNA30	50	1
RNA30	54	1
RNA30	55	1
RNA30	6	70584
RNA30	69	1
RNA30	7	629802
RNA30	72	1
RNA30	76	1
RNA30	8	112089
RNA30	9	20939
RNA3	1	508
RNA3	10	443
RNA3	11	216
RNA31_1	0	316
RNA31_1	1	595
RNA31_1	10	9
RNA31_1	11	11
RNA31_1	12	5
RNA31_1	13	12
RNA31_1	14	8
RNA31_1	15	9
RNA31_1	16	3
RNA31_1	17	6
RNA31_1	18	3
RNA31_1	19	1
RNA31_1	2	60
RNA31_1	20	1
RNA31_1	3	30
RNA31_1	4	33
RNA31_1	5	20
RNA31_1	6	25
RNA31_1	7	18
RNA31_1	8	14
RNA31_1	9	14
RNA3	12	167
RNA3	13	121
RNA3	14	92
RNA3	15	75
RNA3	16	43
RNA3	17	28
RNA3	18	8
RNA3	19	2
RNA31_F	0	3207
RNA31_F	1	5629
